,nom,socioeconomic_deprivation
252,Kayamba,0.872656617247175
253,Kitenge,0.879537336245053
254,Ankoro,0.875479956382218
255,Mulongo,0.844624296542643
256,Lwamba,0.85155020426295
257,Mukanga,0.86456207855437
258,Malemba,0.871199259406612
259,Kinda,0.865516092527872
260,Kamina,0.848966273407385
261,Kikwit-Sud,0.859250160743464
262,Kenya,0.775706442008329
263,Kamalondo,0.76389091499569
264,Tshamilemba,0.76749729790031
265,Pweto,0.829824248427419
266,Lukafu,0.844664045560278
267,Mufunga Sampwe,0.875407112737408
268,Kilwa,0.841755756833635
269,Kapolowe,0.800407897228459
270,Panda,0.815269130618368
271,Kashobwe,0.800196534196656
272,Kampemba,0.784239581406519
273,Rwashi,0.78238908156417
274,Bena Tshiadi,0.882000029087067
275,Yangala,0.871189417281452
276,Ilebo,0.851973742563022
277,Luebo,0.880502009552014
278,Bena Leka,0.877544553316171
279,Muetshi,0.881707904222498
280,Tshikula,0.872516918780347
281,Dibaya,0.869671629308538
282,Kalomba,0.88051041573117
283,Tshibala,0.879279922476558
284,Mushenge,0.878516784327683
285,Bulape,0.881999892542827
286,Masuika,0.878265157480008
287,Luiza,0.87154061968558
288,Katoka,0.855463527582152
289,Ndesha,0.854441298340548
290,Tshikaji,0.86611097811402
291,Bilomba,0.881999616020149
292,Ndekesha,0.879715110513343
293,Bunkonde,0.881226483654467
294,Mikalayi,0.868064033650727
295,Luambo,0.848014716404513
296,Katende,0.881622008404378
297,Ndjoko-Mpunda,0.878222571039578
298,Lubondaie,0.880685071708609
299,Kakenge,0.881619906351874
300,Rwampara,0.83342313396971
301,Bunia,0.820001260164465
302,Jiba,0.834494075197601
303,Linga,0.830221523144988
304,Mangala,0.82666598050859
305,Damas,0.866250405426013
306,Fataki,0.831673249474092
307,Drodro,0.822544581192326
308,Tchomia,0.80578083339856
309,Rethy,0.820830448828179
310,Nyakunde,0.858860078727427
311,Nizi,0.807092333729204
312,Bambu,0.827012219918884
313,Kilo,0.827631333740892
314,Mongbalu,0.854553491864187
315,Komanda,0.862828036651705
316,Gethy,0.840644833686551
317,Boga,0.826859874977972
318,Nia-Nia,0.863060510416314
319,Mandima,0.8253202730952
320,Lolwa,0.878364899739354
321,Lita,0.814171982830391
322,Boma-Mangbetu,0.882000029087064
323,Isiro,0.882000029087063
324,Wamba,0.881566652168114
325,Doruma,0.914001537698384
326,Pawa,0.882000029087066
327,Niangara,0.882000029087068
328,Rungu,0.882000029087067
329,Mambasa,0.870604428838932
330,Rimba,0.82795956979921
331,Logo,0.792444695075626
332,Angumu,0.765509311708716
333,Nyarambe,0.740517219191277
334,Mahagi,0.780381575578729
335,Makoro,0.85139884579031
336,Kambala,0.851727737765729
337,Biringi,0.861568130629737
338,Laybo,0.859095947379348
339,Ariwara,0.818852179187957
340,Adi,0.875359821640628
341,Aru,0.820451287607051
342,Adja,0.853908861942073
343,Aungba,0.842862666734023
344,Faradje,0.843920058083431
345,Gombari,0.8640097317174
346,Dungu,0.878985450674579
347,Watsa,0.832182872587895
348,Demba,0.854426321249771
349,Mutoto,0.869182588015462
350,Lubunga (Kasaï-Central),0.881991475869786
351,Kananga,0.859818812107846
352,Maluku II,0.771202121646725
353,Nselo,0.844264289141484
354,Lomela,0.882000029087067
355,Nioki,0.871439753503519
